TransactionID,TransactionTime,Amount,CustomerID,Location,V1,V2,V3,Class
TRANS00028,2024-09-25 02:07:24,816.93,CUST1905,NY,1.591,0.854,-1.633,0
TRANS00029,2024-08-30 02:17:33,3327.86,CUST4255,MA,0.772,-0.994,-1.13,0
TRANS00030,2024-09-24 00:44:28,4185.66,CUST3482,IL,-1.109,-1.838,-0.998,0
TRANS00031,2024-09-19 23:58:02,469.98,CUST2008,MA,0.053,-1.567,-0.858,0
TRANS00032,2024-09-14 01:21:53,2131.96,CUST0843,FL,1.054,-0.272,-0.145,0
TRANS00033,2024-09-16 14:10:04,330.47,CUST5069,NY,1.825,1.99,1.402,0
TRANS00034,2024-09-08 22:41:35,2897.87,CUST4871,TX,-0.681,-0.195,-0.972,0
TRANS00035,2024-09-07 22:21:29,3602.8,CUST2681,MA,-0.524,-1.819,-0.171,0
TRANS00036,2024-09-11 20:10:05,1922.12,CUST8516,CA,0.874,-0.975,-1.097,0
TRANS00037,2024-09-18 09:37:56,4148.0,CUST4107,AZ,1.598,0.377,-0.576,0
TRANS00038,2024-09-11 04:21:49,1823.06,CUST2163,NY,-0.334,-0.226,0.323,0
TRANS00039,2024-09-19 05:59:14,3956.81,CUST3265,CA,1.16,-0.209,-0.126,0
TRANS00040,2024-09-11 19:47:27,3827.48,CUST1066,NY,-1.213,1.395,1.561,0
TRANS00041,2024-09-21 05:14:38,4782.98,CUST4121,NJ,1.671,-1.427,-1.845,0
TRANS00042,2024-09-17 14:45:28,3675.82,CUST8748,FL,1.684,0.211,0.792,0
TRANS00043,2024-09-13 17:02:17,2543.77,CUST5843,MA,-1.108,-1.461,-0.42,0
TRANS00044,2024-08-29 20:50:45,2338.41,CUST8739,NV,1.889,1.27,-1.501,0
TRANS00045,2024-09-23 10:47:57,1692.19,CUST4445,CA,-1.507,-0.718,-1.993,0
TRANS00046,2024-09-19 20:12:54,4501.37,CUST0902,CA,-0.485,0.585,1.187,0
TRANS00047,2024-08-31 02:39:45,4487.48,CUST6896,MA,1.149,0.967,1.756,0
TRANS00048,2024-09-15 15:22:52,369.06,CUST5356,WA,-0.277,-0.821,-1.62,0
TRANS00049,2024-09-16 22:08:22,4362.48,CUST2938,NJ,-0.694,-0.283,-0.364,0
TRANS00050,2024-09-14 04:42:41,1466.81,CUST6037,AZ,0.591,1.517,-0.913,0
TRANS00051,2024-09-17 02:31:09,4165.8,CUST3949,NY,0.905,-0.424,0.103,0
TRANS00052,2024-09-06 15:43:31,4803.71,CUST1136,CA,1.956,-0.176,1.569,0
TRANS00053,2024-09-03 19:42:03,2517.83,CUST0877,CA,-1.397,0.045,1.047,0
TRANS00054,2024-09-06 03:07:52,3156.15,CUST4836,NJ,-1.563,-0.297,-1.483,0
TRANS00055,2024-09-26 10:43:18,3215.27,CUST9436,IL,-0.603,0.675,0.528,0
TRANS00056,2024-09-05 01:55:50,633.29,CUST2730,NV,-1.852,1.555,-1.542,0
TRANS00057,2024-08-30 16:51:13,3485.88,CUST3114,FL,-1.697,-0.111,0.988,0
TRANS00058,2024-09-09 05:25:48,3532.68,CUST1558,NV,-1.84,-1.302,1.081,0
TRANS00059,2024-08-30 02:42:55,3116.61,CUST0301,IL,1.257,-0.602,1.734,0
TRANS00060,2024-09-22 12:08:18,4458.83,CUST1667,NJ,0.717,-0.924,0.459,0
TRANS00061,2024-09-08 05:24:08,1611.65,CUST0670,NY,-0.651,0.805,-1.305,0
TRANS00062,2024-09-18 07:47:38,177.5,CUST5071,FL,-0.163,-0.227,-0.328,0
TRANS00063,2024-09-06 01:45:51,3618.39,CUST5246,CA,-1.33,0.845,-0.52,0
TRANS00064,2024-09-16 13:38:26,3171.51,CUST1169,IL,0.066,-1.225,-0.85,0
TRANS00065,2024-09-12 18:31:30,3939.06,CUST1720,CA,1.493,0.896,1.837,0
TRANS00066,2024-09-27 17:25:02,515.15,CUST3357,FL,-1.816,0.38,0.176,0
TRANS00067,2024-08-31 07:52:46,2784.45,CUST9401,MA,0.245,-1.532,-0.681,0
TRANS00068,2024-09-04 22:12:04,1775.6,CUST5739,AZ,-0.838,0.171,1.193,0
TRANS00069,2024-09-07 04:46:32,19.74,CUST7401,TX,1.419,0.38,-1.553,0
TRANS00070,2024-09-09 21:14:52,3140.03,CUST4215,NY,1.313,0.808,-1.56,0
TRANS00071,2024-09-20 15:44:12,3565.06,CUST6093,AZ,-1.148,-0.172,-0.506,0
TRANS00072,2024-09-12 12:04:53,1993.94,CUST0446,FL,-1.213,-1.027,0.561,0
TRANS00073,2024-09-19 13:50:48,2929.92,CUST3163,CA,-1.926,-0.82,-0.71,0
TRANS00074,2024-09-14 12:22:35,808.69,CUST0328,CA,0.274,-0.323,-0.7,0
TRANS00075,2024-09-27 01:27:16,814.75,CUST0045,FL,-1.862,-1.967,-1.19,0
TRANS00076,2024-09-24 13:57:48,2544.21,CUST7678,MA,-0.101,-0.359,0.894,0
TRANS00077,2024-09-23 16:40:11,4316.44,CUST9022,CA,1.472,-0.531,0.608,0
TRANS00078,2024-09-15 00:21:39,1992.35,CUST5053,MA,-1.75,-1.66,-1.583,0
TRANS00079,2024-09-21 05:37:50,1913.09,CUST2242,NY,0.776,-0.677,-1.242,0
TRANS00080,2024-09-28 07:47:12,3946.46,CUST1527,CA,1.744,-0.375,0.192,0
TRANS00081,2024-09-01 19:08:43,4267.92,CUST8107,FL,0.515,-1.23,0.962,0
TRANS00082,2024-09-26 18:25:36,810.1,CUST3627,AZ,1.32,-0.866,-1.731,0
TRANS00083,2024-09-19 00:27:37,3073.37,CUST3591,CA,-1.083,1.164,-0.963,0
TRANS00084,2024-09-10 20:20:36,2133.4,CUST2042,TX,-0.971,0.614,0.588,0
TRANS00085,2024-09-18 13:59:45,2079.38,CUST8204,WA,-1.079,-0.61,1.583,0
TRANS00086,2024-09-28 03:34:35,30.75,CUST5339,IL,-1.562,1.76,1.975,0
TRANS00087,2024-09-21 21:18:44,156.14,CUST3483,AZ,1.563,-0.134,0.592,0
TRANS00088,2024-09-13 00:11:51,1530.96,CUST5455,NJ,-0.164,1.172,-1.918,0
TRANS00089,2024-09-01 05:38:32,3805.69,CUST6673,IL,1.728,1.546,0.04,0
TRANS00090,2024-09-19 07:03:38,4955.45,CUST6315,NY,0.433,-1.24,-1.513,0
TRANS00091,2024-08-31 08:21:34,4489.06,CUST0834,CA,-0.083,-1.981,0.374,0
TRANS00092,2024-09-26 18:50:42,1280.19,CUST3570,WA,0.955,1.793,-1.406,0
TRANS00093,2024-09-10 20:14:17,2840.66,CUST5904,NY,0.186,-0.875,-0.655,0
TRANS00094,2024-09-22 15:22:45,2448.86,CUST0294,FL,-0.079,-0.728,0.311,0
TRANS00095,2024-08-31 04:16:14,3794.96,CUST1903,MA,1.647,-0.241,-1.056,0
TRANS00096,2024-09-07 22:23:32,4770.94,CUST1716,NV,0.441,1.004,-0.373,0
TRANS00097,2024-09-11 23:01:13,1524.05,CUST5093,NJ,1.473,1.227,0.172,0
TRANS00098,2024-09-17 03:12:05,4929.71,CUST8270,CA,-1.827,0.925,-0.356,0
TRANS00099,2024-09-14 03:33:15,1224.65,CUST6438,NV,-1.072,-0.927,0.086,0
TRANS00100,2024-09-19 15:44:44,1865.03,CUST4810,FL,1.854,-0.314,-0.488,0
TRANS00101,2024-09-10 09:05:23,3168.89,CUST9676,NJ,0.753,1.247,-0.546,0
TRANS00102,2024-09-08 03:11:25,4156.59,CUST3854,WA,0.965,0.064,1.604,0
TRANS00103,2024-09-27 03:26:53,2860.68,CUST9449,WA,-1.885,0.637,-1.238,0
TRANS00104,2024-08-30 03:06:27,4801.82,CUST4783,AZ,-0.81,-1.949,1.954,0
TRANS00105,2024-08-30 22:42:12,144.02,CUST0191,NY,-1.512,0.586,-0.16,0
TRANS00106,2024-08-31 03:48:48,3297.27,CUST0564,TX,1.204,0.528,-1.147,0
TRANS00107,2024-08-31 14:33:06,1668.45,CUST9774,CA,1.667,-0.885,-1.125,0
TRANS00108,2024-09-14 16:01:47,1741.72,CUST8711,TX,-0.951,1.71,-0.24,0
TRANS00109,2024-09-13 15:02:01,1121.75,CUST3675,AZ,1.241,1.143,0.797,0
TRANS00110,2024-09-14 17:43:49,284.12,CUST4683,NV,-0.52,-0.576,0.32,0
TRANS00111,2024-09-13 12:46:07,2698.65,CUST3454,TX,-1.998,0.752,-0.323,0
TRANS00112,2024-09-20 23:56:41,3468.65,CUST0354,MA,1.583,-1.057,-1.902,0
TRANS00113,2024-09-17 11:13:15,2531.77,CUST6757,NV,-0.731,-0.1,-0.558,0
TRANS00114,2024-09-18 01:37:19,3309.6,CUST3405,CA,-1.231,0.261,-0.661,0
TRANS00115,2024-09-21 04:35:34,65.74,CUST9636,MA,-1.807,-1.776,-1.282,0
TRANS00116,2024-09-15 04:35:49,1460.35,CUST0930,WA,-1.205,0.332,1.82,0
TRANS00117,2024-09-27 03:34:13,3282.58,CUST2370,FL,0.762,-0.316,-0.733,0
TRANS00118,2024-09-09 14:15:03,3549.41,CUST7157,NY,1.614,1.857,0.09,0
TRANS00119,2024-09-24 16:13:19,2416.5,CUST5626,WA,1.589,1.638,-1.771,0
TRANS00120,2024-09-27 01:01:46,2210.15,CUST7565,IL,0.611,-0.343,1.67,0
TRANS00121,2024-09-08 21:38:49,4220.97,CUST0017,AZ,1.032,-1.168,-1.471,0
TRANS00122,2024-08-31 15:07:45,4449.73,CUST7191,WA,-1.587,1.337,-0.689,0
TRANS00123,2024-09-13 04:15:16,2995.47,CUST4153,IL,0.501,-1.205,1.154,0
TRANS00124,2024-09-12 16:37:47,3704.72,CUST2687,IL,0.392,1.488,1.834,0
TRANS00125,2024-09-24 20:05:09,2817.07,CUST5788,MA,-1.945,-1.646,-1.067,0
TRANS00126,2024-09-11 03:41:15,3557.4,CUST8833,TX,-1.364,0.542,-0.634,0
TRANS00127,2024-09-22 16:47:00,104.57,CUST3316,NJ,-0.324,-1.732,1.879,0
TRANS00128,2024-08-30 11:39:35,3561.7,CUST6243,MA,0.587,-0.797,1.338,0
TRANS00129,2024-09-01 19:29:49,1428.76,CUST0541,NY,-0.247,-1.022,-0.734,0
TRANS00130,2024-09-18 13:15:48,1844.25,CUST5078,MA,0.849,1.807,-1.38,0
TRANS00131,2024-09-10 15:57:50,1455.82,CUST9539,MA,-0.817,-0.174,1.881,0
TRANS00132,2024-09-11 09:42:11,3054.9,CUST6574,WA,-1.375,0.003,-1.529,0
TRANS00133,2024-09-03 19:06:16,1096.24,CUST3544,CA,-1.34,1.371,-0.66,0
TRANS00134,2024-09-25 09:22:42,106.63,CUST8394,NY,1.584,1.417,0.116,0
TRANS00135,2024-09-24 08:28:13,4124.85,CUST7165,TX,1.22,1.375,-1.161,0
TRANS00136,2024-09-12 17:04:45,2817.36,CUST9276,NV,0.93,-0.414,0.921,0
TRANS00137,2024-09-09 14:21:52,2082.94,CUST4706,FL,-0.671,-0.089,-0.41,0
TRANS00138,2024-09-20 10:41:24,1323.99,CUST1457,IL,1.622,0.535,0.06,0
TRANS00139,2024-09-08 22:23:07,3487.59,CUST7479,AZ,1.585,1.2,-1.584,0
TRANS00140,2024-09-13 03:08:05,4152.15,CUST1679,NJ,0.398,-1.907,-0.224,0
TRANS00141,2024-08-30 23:56:20,2707.08,CUST8864,NJ,-0.147,0.455,0.982,0
TRANS00142,2024-09-17 17:58:18,1366.41,CUST3276,FL,-0.083,1.527,-0.607,0
TRANS00143,2024-09-12 06:50:32,3648.2,CUST3709,NV,1.252,0.276,-1.639,0
TRANS00144,2024-09-21 19:07:33,52.26,CUST0794,FL,1.229,0.154,1.335,0
TRANS00145,2024-09-20 20:21:53,1042.29,CUST4151,WA,0.61,0.483,-0.622,1
TRANS00146,2024-08-31 14:18:33,3571.87,CUST9009,IL,-0.419,0.729,0.657,0
TRANS00147,2024-09-17 23:31:14,2363.64,CUST4907,NV,-1.6,-1.891,-1.447,0
TRANS00148,2024-09-06 09:47:18,3614.96,CUST5738,WA,0.802,0.71,0.948,0
TRANS00149,2024-09-22 17:03:55,2051.06,CUST9814,NY,-1.206,1.756,1.198,0
TRANS00150,2024-09-14 18:08:29,3435.28,CUST7576,IL,1.525,-0.266,0.948,0
TRANS00151,2024-09-11 18:19:13,4605.77,CUST3469,FL,-0.869,-1.941,0.459,0
TRANS00152,2024-09-19 19:27:55,3387.8,CUST5442,WA,-1.965,1.107,1.14,0
TRANS00153,2024-09-07 07:43:52,2995.69,CUST2287,AZ,1.518,-0.84,0.484,0
TRANS00154,2024-09-10 00:54:56,576.2,CUST0870,FL,-0.602,-1.028,-0.56,0
TRANS00155,2024-09-12 21:51:36,2831.33,CUST3734,NV,-1.069,-1.716,-0.378,0
TRANS00156,2024-09-09 10:59:25,2169.24,CUST0489,NY,-0.956,0.38,-1.673,0
TRANS00157,2024-09-06 19:30:34,1610.43,CUST5604,MA,-1.431,-0.143,0.389,0
TRANS00158,2024-09-15 14:19:03,4518.53,CUST0492,MA,-1.643,-0.817,-1.585,0
TRANS00159,2024-09-25 19:10:00,1635.46,CUST9249,AZ,0.063,0.972,-1.934,0
TRANS00160,2024-09-04 15:55:13,4791.05,CUST5517,FL,-1.2,-1.606,0.465,0
TRANS00161,2024-09-14 04:21:57,3516.92,CUST2031,TX,1.991,0.843,-0.006,0
TRANS00162,2024-09-25 04:11:30,4251.16,CUST3540,NV,0.088,1.676,0.188,0
TRANS00163,2024-09-06 11:56:21,3982.73,CUST9291,CA,1.08,0.309,0.719,0
TRANS00164,2024-09-13 12:02:43,1319.95,CUST5338,NJ,-1.886,1.121,1.602,0
TRANS00165,2024-09-08 11:45:26,2452.86,CUST9228,NY,0.188,1.895,1.878,0
TRANS00166,2024-09-12 10:27:41,4960.35,CUST7027,NY,0.412,-0.245,0.061,0
TRANS00167,2024-08-30 16:10:11,3199.44,CUST2435,IL,1.665,-1.488,1.582,0
TRANS00168,2024-09-24 05:28:17,2244.31,CUST6850,NV,-1.879,1.736,-0.392,0
TRANS00169,2024-09-11 11:42:23,4857.18,CUST3902,CA,1.305,1.853,-1.907,0
TRANS00170,2024-09-23 23:03:12,4837.2,CUST5078,NV,0.416,-1.878,-0.511,0
TRANS00171,2024-09-27 22:51:58,4865.39,CUST2957,NJ,0.178,0.114,-0.483,0
TRANS00172,2024-09-25 23:12:20,110.02,CUST3388,MA,1.713,-1.601,1.74,0
TRANS00173,2024-09-10 06:56:46,277.63,CUST6186,FL,-0.489,1.773,0.132,0
TRANS00174,2024-09-20 23:00:22,2222.12,CUST4107,TX,0.088,1.387,-1.26,0
TRANS00175,2024-09-26 22:26:54,3334.83,CUST9741,TX,1.885,-1.242,1.476,0
TRANS00176,2024-09-04 15:11:17,85.68,CUST4977,CA,1.927,0.744,1.419,0
TRANS00177,2024-09-22 15:27:35,159.81,CUST1558,AZ,-1.562,0.77,-1.725,0
TRANS00178,2024-09-06 20:49:02,837.46,CUST6470,WA,1.424,1.14,-1.27,0
TRANS00179,2024-09-23 10:32:37,2336.73,CUST2153,MA,-0.776,0.016,1.332,0
TRANS00180,2024-09-22 19:28:14,2384.27,CUST9300,WA,-0.635,0.458,1.703,0
TRANS00181,2024-09-21 01:48:40,1510.55,CUST6031,WA,0.493,0.875,-0.039,0
TRANS00182,2024-09-06 19:51:12,435.88,CUST6132,WA,-0.834,1.271,-0.965,0
TRANS00183,2024-09-11 00:07:41,1071.0,CUST8866,FL,1.574,0.953,0.07,1
TRANS00184,2024-09-10 17:52:35,4727.05,CUST6708,MA,-0.847,-0.917,1.38,0
TRANS00185,2024-09-15 12:43:23,717.65,CUST8065,NY,1.234,-0.17,-1.652,0
TRANS00186,2024-09-13 07:50:17,2294.54,CUST3343,TX,0.311,-0.965,-1.8,0
TRANS00187,2024-09-28 08:43:23,3247.88,CUST6086,IL,-0.588,-0.001,-0.823,0
TRANS00188,2024-09-06 17:15:44,3886.4,CUST7865,TX,-0.901,-1.29,1.19,0
TRANS00189,2024-09-16 11:44:39,4056.85,CUST3294,TX,-1.073,1.774,-1.404,0
TRANS00190,2024-08-30 10:20:11,2319.76,CUST9471,AZ,-1.179,-0.846,0.066,0
TRANS00191,2024-09-12 11:22:35,1924.07,CUST6151,IL,1.093,-1.051,0.191,0
TRANS00192,2024-09-06 09:08:32,3916.23,CUST6729,IL,-0.393,0.189,0.315,0
TRANS00193,2024-09-17 23:56:35,4145.23,CUST2140,NY,-1.876,0.793,0.255,0
TRANS00194,2024-09-21 07:39:15,2933.06,CUST8193,TX,-1.471,-1.036,1.513,0
TRANS00195,2024-09-17 15:56:13,2065.83,CUST1686,AZ,1.473,-1.691,1.307,0
TRANS00196,2024-09-10 09:16:25,337.89,CUST8924,TX,-0.208,-1.577,-0.908,0
TRANS00197,2024-09-15 16:43:50,1877.38,CUST5632,NY,-1.959,-0.072,-1.704,0
TRANS00198,2024-09-25 13:41:45,3333.39,CUST6364,FL,-1.93,-0.247,0.189,0
TRANS00199,2024-09-07 11:39:19,3629.45,CUST1441,FL,-1.078,-0.044,-0.461,0
TRANS00200,2024-09-10 01:42:20,4373.17,CUST1066,NY,-1.177,0.102,1.612,0
TRANS00201,2024-09-25 02:46:11,4564.64,CUST8717,NV,-0.136,-1.059,-1.621,0
TRANS00202,2024-09-10 22:19:22,2505.16,CUST2465,MA,1.189,1.446,1.02,0
TRANS00203,2024-09-07 21:40:12,4574.55,CUST8862,CA,-1.862,1.492,-0.762,0
TRANS00204,2024-09-09 18:45:28,389.16,CUST2032,NY,0.849,0.418,-1.109,0
TRANS00205,2024-08-30 16:07:21,3427.58,CUST7879,FL,1.206,1.179,-1.892,0
TRANS00206,2024-08-31 13:51:55,1319.69,CUST0593,NY,1.628,0.735,0.872,0
TRANS00207,2024-09-02 06:10:05,2390.66,CUST3448,IL,-0.94,0.754,-0.729,0
TRANS00208,2024-09-27 10:52:49,2497.09,CUST9754,MA,1.299,-1.823,0.978,0
TRANS00209,2024-09-15 10:47:30,4580.66,CUST9245,NY,-0.665,-0.093,1.139,0
TRANS00210,2024-09-27 15:54:09,70.66,CUST9560,CA,1.556,1.982,-0.307,0
TRANS00211,2024-09-28 05:03:06,2414.46,CUST1579,MA,-0.472,0.577,-0.179,0
TRANS00212,2024-09-09 02:15:38,3453.98,CUST0490,TX,1.124,-0.163,-0.217,0
TRANS00213,2024-09-10 21:34:12,1878.85,CUST8747,TX,0.013,0.704,1.293,0
TRANS00214,2024-09-06 02:18:47,3971.54,CUST4561,TX,1.069,-0.506,-0.489,0
TRANS00215,2024-08-31 21:26:05,3249.72,CUST8958,IL,-1.629,0.27,-0.713,0
TRANS00216,2024-09-03 22:03:20,3732.92,CUST8779,WA,0.493,-0.001,0.639,0
TRANS00217,2024-09-09 12:16:24,3936.35,CUST3993,AZ,-1.571,1.054,0.737,0
TRANS00218,2024-09-06 23:42:21,2822.09,CUST2128,FL,0.996,-1.91,0.992,0
TRANS00219,2024-09-24 05:24:45,2003.93,CUST5805,NY,-0.737,0.664,-1.131,0
TRANS00220,2024-09-12 12:49:26,683.98,CUST6563,IL,1.608,0.147,0.094,0
TRANS00221,2024-09-10 23:10:35,2128.55,CUST2828,NV,-1.358,0.922,1.064,0
TRANS00222,2024-08-30 17:25:15,2008.14,CUST3111,WA,1.789,0.532,-0.849,0
TRANS00223,2024-09-12 22:24:18,1281.86,CUST2689,CA,-1.562,-0.167,1.089,0
TRANS00224,2024-09-27 14:40:44,4198.43,CUST4115,NY,-1.181,-0.522,0.877,0
TRANS00225,2024-09-08 07:13:29,29.89,CUST0226,NV,1.719,0.836,-1.399,0
TRANS00226,2024-09-03 13:12:35,3571.9,CUST1015,AZ,0.575,-0.459,0.425,0
TRANS00227,2024-09-19 09:38:19,3988.13,CUST1733,NV,1.422,-0.088,-0.995,0
TRANS00228,2024-09-24 13:40:16,2661.44,CUST0568,MA,-1.298,-0.666,-1.159,0
TRANS00229,2024-09-14 09:40:15,2185.91,CUST9972,NV,1.3,-1.621,-1.524,0
TRANS00230,2024-09-07 10:13:41,2320.48,CUST6158,FL,1.283,-1.975,0.297,0
TRANS00231,2024-09-14 23:21:05,3206.53,CUST0074,WA,0.899,1.65,1.782,0
TRANS00232,2024-09-15 19:58:56,4505.19,CUST6491,TX,-0.943,-1.716,1.078,0
TRANS00233,2024-09-14 14:27:38,4432.95,CUST5823,NY,0.755,-1.285,-0.062,0
TRANS00234,2024-09-27 05:47:42,2548.37,CUST2989,AZ,-0.583,-1.383,1.492,0
TRANS00235,2024-09-11 05:43:56,3895.25,CUST2141,NV,0.546,-1.113,-1.692,0
TRANS00236,2024-09-23 08:08:25,3747.97,CUST1413,NJ,-1.375,1.303,-1.278,0
TRANS00237,2024-09-05 13:09:21,3717.77,CUST5726,FL,0.553,0.996,1.151,0
TRANS00238,2024-09-18 18:03:10,2928.08,CUST6899,TX,-0.848,-0.463,0.366,0
TRANS00239,2024-09-03 05:24:03,420.91,CUST0194,IL,-1.626,1.128,-0.745,0
TRANS00240,2024-09-05 15:53:34,4994.53,CUST9047,NV,-0.811,-0.102,0.335,0
TRANS00241,2024-09-01 23:37:18,3830.5,CUST7916,TX,0.155,0.662,0.359,0
TRANS00242,2024-09-25 11:39:41,1678.8,CUST5874,MA,0.351,-1.982,0.813,0
TRANS00243,2024-09-18 16:30:02,4848.22,CUST9622,TX,1.976,1.399,-0.977,0
TRANS00244,2024-09-01 17:47:00,3663.99,CUST1779,NV,0.265,-0.871,0.203,0
TRANS00245,2024-09-26 11:13:28,1231.05,CUST2359,WA,-0.934,0.442,0.785,0
TRANS00246,2024-09-21 21:02:58,2858.17,CUST5075,NV,0.721,-0.957,-0.199,0
TRANS00247,2024-09-10 03:34:54,3117.21,CUST6254,NY,-1.099,1.377,-1.863,0
TRANS00248,2024-09-11 15:52:01,1747.42,CUST7896,CA,1.322,-0.572,-0.9,0
TRANS00249,2024-09-06 14:26:26,2443.31,CUST4654,CA,-1.799,0.644,-1.476,0
TRANS00250,2024-08-31 17:27:05,4069.23,CUST1340,NY,-1.273,1.88,-1.471,0
TRANS00251,2024-08-31 09:57:07,1413.7,CUST9442,TX,-1.998,-1.016,0.081,1
TRANS00252,2024-09-15 16:22:20,4275.69,CUST4886,IL,0.718,-0.093,1.5,0
TRANS00253,2024-09-06 19:56:57,1032.73,CUST9209,IL,-1.301,-0.772,0.237,0
TRANS00254,2024-09-23 20:42:46,4586.61,CUST3168,CA,1.84,-1.113,-0.494,0
TRANS00255,2024-09-01 07:55:20,1821.17,CUST8648,TX,1.376,1.666,1.864,0
TRANS00256,2024-09-19 11:46:01,851.04,CUST8066,NY,1.623,-1.633,-1.597,0
TRANS00257,2024-09-15 01:22:33,4584.01,CUST5372,NY,1.881,-1.849,-0.844,0
TRANS00258,2024-09-21 06:37:54,3225.59,CUST1173,WA,-0.682,1.541,-1.091,0
TRANS00259,2024-09-26 06:48:43,2421.1,CUST8766,AZ,-1.339,-0.84,-0.471,0
TRANS00260,2024-09-22 04:18:34,1411.93,CUST3058,MA,-1.967,0.731,-1.655,0
TRANS00261,2024-09-09 14:09:12,3439.2,CUST9663,FL,-1.25,0.207,1.137,0
TRANS00262,2024-09-20 05:01:40,2332.43,CUST1342,WA,-0.978,-0.101,0.361,0
TRANS00263,2024-09-06 19:33:54,4994.45,CUST7225,WA,1.714,-0.722,0.84,0
TRANS00264,2024-09-22 10:01:24,581.16,CUST7606,IL,0.592,1.915,0.363,0
TRANS00265,2024-09-13 23:05:28,1359.13,CUST9940,IL,1.205,-1.986,-0.726,0
TRANS00266,2024-09-08 10:34:53,4399.29,CUST0119,MA,-1.968,-1.337,-0.702,0
TRANS00267,2024-09-07 23:16:35,2809.17,CUST8237,NY,-1.727,1.949,-1.518,0
TRANS00268,2024-09-18 14:16:37,350.17,CUST6794,IL,0.037,0.953,-1.278,0
TRANS00269,2024-09-15 13:06:56,2747.94,CUST3335,WA,-0.859,1.398,-1.779,0
TRANS00270,2024-09-24 14:54:07,2607.64,CUST6875,FL,-0.889,-0.71,-0.975,0
TRANS00271,2024-09-14 10:27:42,3736.25,CUST4613,MA,1.086,1.593,0.07,0
TRANS00272,2024-09-07 14:46:09,4393.65,CUST7814,AZ,-0.854,-1.025,1.338,0
TRANS00273,2024-08-31 17:50:12,1266.05,CUST5740,CA,-1.055,1.512,0.241,0
TRANS00274,2024-08-30 14:41:13,4155.65,CUST0985,MA,-0.534,1.952,0.245,0
TRANS00275,2024-09-10 19:23:57,1936.13,CUST7176,WA,1.811,-1.027,1.665,0
TRANS00276,2024-09-08 15:26:45,2346.12,CUST0756,AZ,-0.608,-0.677,0.901,0
TRANS00277,2024-09-24 21:27:00,3196.64,CUST8705,NV,-0.78,-0.999,-1.822,0
TRANS00278,2024-09-28 10:25:32,4757.8,CUST3767,FL,1.476,-0.758,-1.269,0
TRANS00279,2024-09-01 15:16:52,2191.41,CUST7662,TX,0.431,-0.799,1.383,0
TRANS00280,2024-09-04 19:22:21,3416.12,CUST8658,NJ,1.251,1.752,1.999,0
TRANS00281,2024-09-16 14:35:51,3943.76,CUST4006,TX,1.748,1.692,-0.297,0
